Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [200/250] P =   159.86 yr, a" = 13.141  e = 0.580, M = 1.632 Msun  cost = 0.0008961814520154595
  [201/250] P =   160.66 yr, a" = 13.184  e = 0.581, M = 1.632 Msun  cost = 0.0009002876543453685
  [202/250] P =   161.47 yr, a" = 13.227  e = 0.582, M = 1.632 Msun  cost = 0.0009043682879433341
  [203/250] P =   162.27 yr, a" = 13.270  e = 0.583, M = 1.631 Msun  cost = 0.0009084235777641112
  [204/250] P =   163.07 yr, a" = 13.312  e = 0.584, M = 1.631 Msun  cost = 0.0009124537467740106
  [205/250] P =   163.87 yr, a" = 13.355  e = 0.585, M = 1.631 Msun  cost = 0.0009164590159536297
  [206/250] P =   164.68 yr, a" = 13.398  e = 0.586, M = 1.630 Msun  cost = 0.0009204396043447637
  [207/250] P =   165.48 yr, a" = 13.441  e = 0.587, M = 1.630 Msun  cost = 0.0009243957289482812
  [208/250] P =   166.28 yr, a" = 13.483  e = 0.588, M = 1.630 Msun  cost = 0.0009283276048299605
  [209/250] P =   167.08 yr, a" = 13.526  e = 0.589, M = 1.630 Msun  cost = 0.0009322354450447246
  [210/250] P =   167.89 yr, a" = 13.569  e = 0.590, M = 1.629 Msun  cost = 0.0009361194606795585
  [211/250] P =   168.69 yr, a" = 13.611  e = 0.591, M = 1.629 Msun  cost = 0.0009399798608445778
  [212/250] P =   169.49 yr, a" = 13.653  e = 0.592, M = 1.629 Msun  cost = 0.0009438168526751045
  [213/250] P =   170.30 yr, a" = 13.696  e = 0.593, M = 1.628 Msun  cost = 0.0009476306413436254
  [214/250] P =   171.10 yr, a" = 13.738  e = 0.594, M = 1.628 Msun  cost = 0.0009514214300705259
  [215/250] P =   171.90 yr, a" = 13.780  e = 0.595, M = 1.628 Msun  cost = 0.0009551894200948525
  [216/250] P =   172.70 yr, a" = 13.822  e = 0.596, M = 1.628 Msun  cost = 0.0009589348107551281
  [217/250] P =   173.51 yr, a" = 13.865  e = 0.597, M = 1.627 Msun  cost = 0.0009626577994245192
  [218/250] P =   174.31 yr, a" = 13.907  e = 0.598, M = 1.627 Msun  cost = 0.0009663585815774307
  [219/250] P =   175.11 yr, a" = 13.949  e = 0.599, M = 1.627 Msun  cost = 0.0009700373507047119
  [220/250] P =   175.92 yr, a" = 13.991  e = 0.600, M = 1.627 Msun  cost = 0.0009736942984895935
